image,reading,eating,medical activity,studying,socializing,working,camping,gaming,hiking,conducting business,cleaning,bathing,climbing,research,touring,training,playing,farming,boating,waiting in line,praying,congregating,constructing,sunbathing,using tools,swimming,diving,digging,shopping,spectating,biking,exercise,competing,transporting,driving,sports
restaurant__130.png,0.25394607037228445,0.3511667848412798,0.28764945122968943,0.2631523331982386,0.30859704619709044,0.4684659558850432,0.20673155390928413,0.26675776058560724,0.21988324870855933,0.3216150079353115,0.29420499119590554,0.26039117215725593,0.23044938616496666,0.30162360041169234,0.24304948857811337,0.2550533252191809,0.2118399560076556,0.24725276603920168,0.24539036531787106,0.3449457098950729,0.2426341094918178,0.24198128587510567,0.26247909595464924,0.23146112208414465,0.2963661735554294,0.2363502786465279,0.24765009748225716,0.2512137997204769,0.4316240800309379,0.22184699877370861,0.2821176474181512,0.20771332623893501,0.21765133446419335,0.2596906689290479,0.2879829735789497,0.19783354916631807
restaurant__131.png,0.42262529587492803,0.498389999609937,0.2786460841521175,0.33267635512308547,0.4610174926890554,0.3664414074813936,0.18539339649061032,0.25315581159030426,0.23263602989969703,0.3219386568986019,0.2664801280420074,0.2527118076165795,0.27467906526332386,0.2926498768725004,0.2874443760502327,0.30238874417980793,0.1956073431526453,0.21978571329769464,0.2600262219832628,0.3123500226314952,0.2505677626443646,0.4163194945053532,0.23426852073411364,0.23161833907776233,0.22622594200403842,0.25202446505987336,0.2661418800585368,0.23982060184367024,0.2731396906335213,0.24596675804882892,0.2280385983023705,0.20731155803233453,0.18986439748334627,0.2310688745381396,0.19668790813059217,0.17663808674613304
restaurant__132.png,0.42093866809824804,0.49774074922415945,0.27241128384617946,0.3378454248992603,0.4863725118448494,0.4486807763545598,0.22889127104402307,0.28820812639209953,0.22255375279055806,0.33634420726373293,0.2681035162553275,0.27301229987395015,0.2332862287389095,0.3098509476304662,0.2695747032561889,0.31392794621791253,0.2826708301960133,0.2663893383659973,0.246560925179182,0.34976168949754066,0.2515920002381725,0.39894469304843133,0.27446527893432715,0.26831852097768055,0.3136324817040284,0.2538494881996934,0.26005397562608806,0.25636187149918066,0.3688637355048174,0.2515840758084282,0.23889458743697492,0.24881553249855184,0.2478128736566052,0.23519124555801751,0.22061339791369966,0.23268361822990552
restaurant__133.png,0.379801585023587,0.41776407423697676,0.24916925019604086,0.2788485695511647,0.4249133098521677,0.28390238808983054,0.1907712071419642,0.2523353814411436,0.2076684944503078,0.2831777532993068,0.2500779037384018,0.26551508934304613,0.22342217598378417,0.25311184248773816,0.28821909641523846,0.27222361018542907,0.22610664623759655,0.22735286247774733,0.3160558979125753,0.2809771143874654,0.23898993951355596,0.3854006134683682,0.23991547731908036,0.2593604661686805,0.22974169595691793,0.29382329045631717,0.2957002866549149,0.22831477850353318,0.2350821574764509,0.26563605871572465,0.24073616524849542,0.24003569802252128,0.22820326651156583,0.269291068797249,0.2268263207887701,0.20877082150439882
restaurant__134.png,0.3677572096522486,0.49949748707796054,0.2766306653214324,0.2921477442742032,0.4525706291528253,0.41193257580210435,0.19195520412283917,0.26340659265434685,0.21930812282312273,0.31399252063138794,0.2754922219135331,0.24964733434628497,0.24264539687491188,0.28283382515128475,0.2585373088688044,0.27256877064235996,0.19666838333619394,0.23434048727368395,0.22478053753213378,0.3300424912131737,0.2723562788705561,0.35379939898091506,0.2496086804577624,0.22688694297656467,0.26100107943846634,0.21541760105693009,0.22775709256196192,0.2418009706005338,0.3349187271952968,0.23973854889933321,0.23944474667575646,0.1935756442087059,0.20356816467892783,0.2014059824799,0.2208280821321313,0.18488735340149653
restaurant__135.png,0.35144764911725623,0.4258271641974071,0.2481113256011326,0.29652914387655377,0.4770927085475548,0.29447764824574446,0.17908416459444695,0.24920879451019654,0.20710840454715304,0.2908326695948085,0.24842196869374034,0.2550534493982025,0.2638269163389675,0.25754181922009883,0.2991229627033631,0.28922705145565947,0.2251627686083159,0.23422180407028012,0.2677654075642819,0.30509150714759303,0.2634025958085628,0.5055666130272565,0.2550233228336978,0.2528658071822189,0.24814486778869882,0.2548610110585426,0.2647602463429309,0.24858583240489163,0.2792805767480744,0.3597949066609459,0.23972903087231057,0.22839444746781906,0.25300367123985706,0.2870029165095658,0.21913928628935742,0.23646295311106616
restaurant__136.png,0.5350213748633185,0.6450156000017269,0.28556039924451165,0.3872987247124,0.6417399561788824,0.3673169536612494,0.2514325122806336,0.3094443461514991,0.2656628316206396,0.33609842738778245,0.2835465473644452,0.28059026807276544,0.268005661283768,0.307755212861918,0.33023770220813203,0.35991198638249755,0.24758118146771665,0.2941827391151599,0.2687001025163207,0.3423919819620032,0.32955885391342166,0.5681646075730992,0.28309472443796735,0.283181592951892,0.2768476168175595,0.26816444623007063,0.27691862132791795,0.28064054277178224,0.27518400220569633,0.31286210346651505,0.26185639818308754,0.2263213390752886,0.21663467231478822,0.22724231190750507,0.2340519550736195,0.19784657685391274
restaurant__137.png,0.3617397934261492,0.5244629093612467,0.2900207808146187,0.3165528666444683,0.5091480371137806,0.4323268138275165,0.17956413076058203,0.2718872222775186,0.21818547362273016,0.30784247927590447,0.28995118070106546,0.28189001568353517,0.2683356580622268,0.30742862218495987,0.27835481592508604,0.320385392214799,0.21192855643467445,0.2422662729403551,0.28342407596147845,0.35303151689480267,0.23212771906988927,0.45695000694481913,0.24974619424915445,0.25798767003023776,0.29010850485739936,0.287294108824639,0.2960844174958573,0.24629235069663075,0.33273069143740086,0.27885425688351845,0.24684823794786706,0.23744815460031093,0.23007372970884662,0.2545682029100631,0.22819285165331232,0.2105926237002523
restaurant__138.png,0.4795699812507207,0.5249989350801711,0.2983660123043076,0.3886850032705535,0.52159513544385,0.3880831992373757,0.24952324672395873,0.28757952919500157,0.25882049379172173,0.33079842207345156,0.2868883891383042,0.28453411126266004,0.2826066099599496,0.3259680129070975,0.30283869778198697,0.364631870917103,0.26555333406026493,0.2675200876263625,0.29401406681390135,0.31609430810123695,0.26558905602327243,0.4915745029269713,0.2800288876647358,0.2857098088105605,0.2793807554392824,0.2861690923498388,0.2886164964868257,0.2806495637166274,0.26734683310878266,0.30818756373683265,0.2521266676759537,0.24808718620377362,0.24025604452873367,0.26252155489565276,0.23700941479411472,0.2230257528247403
restaurant__139.png,0.4212139400744001,0.42474106369453757,0.26227461233681515,0.32099012416325706,0.40598033738396005,0.35981750772325666,0.21012780361458597,0.2663653852220672,0.23841110070565233,0.3055621202931399,0.2597745266780615,0.26063603452187045,0.27457158571249185,0.2938182799893601,0.3014370675233567,0.30306833535797606,0.23574366900170665,0.2741486815134603,0.22381894728888396,0.2869441167444148,0.290340784077156,0.3661747414800807,0.27979130543518255,0.2524836541494333,0.2979137057372916,0.23066923257499225,0.24130027041470442,0.2692316232393918,0.2684881285994274,0.2552096423472452,0.25281084900848183,0.23469627965026224,0.22251221023001352,0.24728907038709952,0.23345303622475674,0.21171953505516572
restaurant__14.png,0.37918601325550966,0.572591156184746,0.25160881337945906,0.27606222440696065,0.5542264321685415,0.38728862411211823,0.17264335494899682,0.289760646641303,0.19517876650260377,0.3297882805380794,0.2625363181091047,0.25277794634817613,0.23424978912691985,0.2582240105066631,0.28658381804736927,0.26382933835206596,0.2049116113982194,0.23185922248019047,0.2633491323027367,0.3710904225282932,0.27705674058900215,0.4577631671333512,0.24349723429204603,0.24190580470586034,0.24302228291444608,0.2565460940589963,0.2581485135328686,0.24112844263341657,0.36218945726580615,0.27245244053791684,0.24826975571049895,0.1967444049341061,0.22844471930764687,0.23453227076600908,0.23079169268815988,0.20235613952350193
restaurant__140.png,0.34409155699699123,0.48432719477930175,0.28464345987550843,0.3041765065183768,0.487211504430278,0.46869037366002725,0.21931695053918457,0.28371345519332214,0.24351547248091637,0.3344483277244914,0.2759876441533278,0.2759609395499394,0.2552187366636831,0.306509453294561,0.3013528691767605,0.3059625740683818,0.2708996583308818,0.2668697518649863,0.2492644629090128,0.3766076501573484,0.26838910445880526,0.400380774275155,0.27876959953399616,0.27153511552425263,0.3497788913879976,0.26040984453709515,0.2742232242734086,0.26875809157208413,0.41547355997724683,0.259848082451317,0.2697567689193853,0.24371616866441181,0.24031880795572372,0.26990386315542264,0.2518062431426818,0.2262343489863304
restaurant__141.png,0.4707627865265516,0.5275607188694814,0.2639921648149684,0.3641710130720359,0.4775623056775959,0.31217863458109013,0.20060668882769012,0.26947257558605175,0.21982261995440422,0.2902129927611807,0.2747116737329598,0.26641719612991366,0.2616987962506289,0.28697593770897056,0.2668192097951363,0.34179501299744686,0.2114445369425803,0.23472786654504926,0.25634961061868056,0.2756948678784456,0.24201797555793403,0.504233860428829,0.2545738158511346,0.25487050333126193,0.2545872754029497,0.24396100317068342,0.25676365351655434,0.25994683702070215,0.18979171354218607,0.3088272232350002,0.23207369902289302,0.21211988029699974,0.22250270587346183,0.25143427397577806,0.20858300087073606,0.19485896108029818
restaurant__142.png,0.4341059642941652,0.48128133718665617,0.2741962215320803,0.3172996770863329,0.47674816013386784,0.30718099217353395,0.23314469938488924,0.3234875269072143,0.2576866862018396,0.30543114315786685,0.2806066761487229,0.3014993580341432,0.28907014375953083,0.28309719124535093,0.30854996892171255,0.31465714224044095,0.2566763401336211,0.2713183808570093,0.31563547187657914,0.30605871989410194,0.3145989031680538,0.40642554267723097,0.28064679685217025,0.28176693331524555,0.27896462401880184,0.3135860350401895,0.31460921237468203,0.27590414842226335,0.2476337212970503,0.29828562354128024,0.24280507611311938,0.25932019937885664,0.2700559932592342,0.2680777472009108,0.2261653341818786,0.23800677238363294
