image,mean_h,mean_s,mean_b,std_h,std_s,std_b,fourier_slope,fourier_sigma,first_order_ed,second_order_ed,edge_density,entropy,fractal_D
bedroom__141.png,0.30893385914374477,0.1540485176890817,0.44868460222630707,0.2982418446177555,0.11304557056670414,0.22694682884160844,-2.898676414416213,0.006611914757421492,4.273148893516899,4.391791761028805,230.15542896172195,7.6630752394953205,1.8400571032961033
bedroom__142.png,0.23552947488359025,0.3207594836216279,0.47053432649101296,0.30330450280932925,0.21889438586694973,0.2062327272372643,-2.5639776253695152,0.004511804416018957,4.22130678113583,4.38062921685517,291.26309788799125,7.526700629728338,1.6979695774952337
bedroom__143.png,0.4013381888214113,0.40649914977222484,0.3895886948529412,0.31525586882148965,0.3619402530865436,0.2794320555673279,-2.8194168125129453,0.007666733749493427,3.636831475003448,3.935730964769275,384.79591015003206,7.535665191490545,1.6119589900069329
bedroom__144.png,0.45635127125860786,0.3267659073208256,0.3465084890727124,0.2208993063360289,0.2455347287763923,0.258363207290204,-2.763432589029211,0.020287903439551492,3.291896426694525,3.6951948010862328,283.3666483758656,7.347921281749413,1.5757940654251394
bedroom__145.png,0.1204250166954043,0.49497230970703354,0.5054825367647061,0.11122326267894675,0.24407980951728145,0.24470450195701826,-2.7427811401102926,0.005590419155256514,3.941525407971849,4.329224146557149,380.52804126467674,7.664501218009467,1.7176179762187664
bedroom__146.png,0.5054216016314493,0.12802622805276045,0.5472360983455883,0.2456142598009793,0.15241265250163744,0.2791256759269835,-2.986898985525197,0.009664397053669067,4.026252884478222,4.23912436421564,348.62484905860043,7.932396282851388,1.78257788724146
bedroom__147.png,0.1894193991940479,0.33519119928730623,0.5385893203635622,0.25023760122063726,0.17110209931802853,0.2513914859750753,-2.8293641737472073,0.011026316690040014,3.939658403965134,4.204035385911098,358.8344966651588,7.359256363705898,1.8118688716474476
bedroom__148.png,0.18048691414541426,0.37352280579432234,0.5777276220383989,0.26895213130255413,0.19846562066915704,0.17048163081393217,-2.6342052331677106,0.006722281903516352,4.430562994280259,4.476621267358934,272.0256096110721,7.45872936566356,1.801779131072749
bedroom__149.png,0.1195960852969484,0.3029193510457609,0.5471732664419934,0.1312884769577462,0.2004825522370888,0.22658632420188418,-2.778091126711621,0.0030831827076552194,4.1485716814976445,4.278673464774672,429.3727564898694,7.716226027328373,1.838623043160149
bedroom__15.png,0.33581053386810494,0.30373718518358267,0.5893197380514706,0.255839836385085,0.2661522716869612,0.25496595291953245,-2.8007729301632858,0.008141206676183317,3.9355569337241527,4.1532069995733965,420.2266018822308,7.768722158435649,1.8396070590953255
bedroom__150.png,0.5519505194979014,0.1037767431576511,0.5520934691584967,0.34269458769445804,0.0948564926291715,0.1713666708370168,-2.582823524301309,0.006241885071811735,3.8893434575950536,4.139993896445107,272.0661714195143,7.319994357350537,1.8400979663739485
bedroom__151.png,0.19592795850614356,0.11920619222495224,0.795570938010621,0.21834543733533293,0.13036236190104708,0.12918995746001222,-2.43979867350475,0.008815670859625502,4.220617677235086,4.401699804831076,229.27863303403092,7.036981368382607,1.9199204804980847
bedroom__152.png,0.10480939374593395,0.4951286553169666,0.6344472911560459,0.04146904749602393,0.2167097538674881,0.20936153114597297,-3.002316159105508,0.005197056065261934,3.9982492382570127,4.228773854580899,296.7859286493003,7.647669681363058,1.827995616025793
bedroom__153.png,0.12614233735630942,0.6890418018172487,0.5475861417483662,0.09454547275612092,0.2524329163661412,0.19338119080233487,-2.621779752059608,0.00786781888827117,4.236861772509295,4.387635019172277,262.6679775257227,7.569253840143975,1.760438629388951
bedroom__154.png,0.13452849637331557,0.14743678432180668,0.6374107179330064,0.10853571300744065,0.14055573561979268,0.22261624597130725,-2.650329143883618,0.006534012029417616,4.212552020902487,4.353566605505687,301.92483119986633,7.509764632717202,1.853747335063145
bedroom__155.png,0.24022684394949154,0.23015291201311158,0.36311465992647063,0.24479206275700346,0.15777248775314895,0.18138219533085395,-2.717590610571016,0.012348682628754201,3.7439405417857525,3.9683474250136657,163.81862641776107,6.6042631864637595,1.4979695769456665
bedroom__156.png,0.16221764237969882,0.4330273014953639,0.5897399280024509,0.26759834582641223,0.28552164269475344,0.2775521240426398,-2.4345674856449095,0.008412569725386274,4.213706293783494,4.4373123157350935,353.614226558698,7.321500568478539,1.7898680254323533
bedroom__157.png,0.32874905171496815,0.23657507564629465,0.46720556321486933,0.24823941699642235,0.17964099298070577,0.21020366233373058,-2.976827834905282,0.029622126429096556,4.020479748478773,4.178465596718843,203.5501990646939,7.501813443280945,1.7391152572321347
bedroom__158.png,0.11814037605736817,0.42931909304637383,0.5403362821691176,0.12176858915325287,0.23626672000940252,0.20195103566041198,-2.8318156195951474,0.00686428926407,4.258498766623795,4.3229115052042,283.0800806793321,7.290404619372848,1.727324952205705
bedroom__159.png,0.238373508490711,0.16835656608549715,0.5407533190359477,0.15671979385755977,0.16079476115206517,0.2067433585998563,-2.9267062183186416,0.00618649108927252,4.123313073374787,4.166173000583371,179.99193994391692,7.58226216316212,1.8081493684607075
bedroom__16.png,0.4957971242802295,0.15683773130973253,0.5233219337214053,0.33864144481637615,0.1963663945668169,0.15801422054290462,-2.810357311659144,0.013044746794686334,3.857639625421887,4.102503988292287,248.0036858739428,7.011204315511644,1.8132177659746946
bedroom__160.png,0.26268288108867677,0.16751267819818622,0.5693522007761438,0.25327533140163766,0.2325122477110026,0.230290586045853,-3.140182370133467,0.015115497489215318,4.020637175799493,4.1916909096488055,387.5081185726813,7.253608823171847,1.8551474114272888
bedroom__161.png,0.2220996353089595,0.35212274454538334,0.36107003165849677,0.20573717556856796,0.26752155695501056,0.2573275356362316,-3.053556640460912,0.012968090900720252,3.6823575679146034,3.9057125073287136,199.4997324951546,7.545247832542744,1.6659593409999236
bedroom__162.png,0.5432899099579134,0.34308499828359584,0.5280215737336601,0.17653420114899426,0.25423990539757,0.23640482864492435,-2.7862655158428753,0.012092617853532108,3.7041468585816117,4.002023404635323,413.9545397970943,7.623707409143697,1.791033104702358
bedroom__163.png,0.10681628388204788,0.48088012146599074,0.7171543351715689,0.10690005827109089,0.24569530283318017,0.18793020197874294,-2.86844012181106,0.006183115112693325,4.100675163406579,4.253001325510116,325.4530096436608,7.633808258455832,1.8740649526777151
bedroom__164.png,0.26873827027765484,0.5098712091226041,0.49721169066584975,0.378411470867828,0.3085604492612525,0.2359390606688924,-2.8733719288260917,0.026040791105346222,4.204694301739892,4.244048149945166,352.8601618971982,7.225809726258289,1.7177429044163532
bedroom__165.png,0.29899511362219505,0.4377893437102632,0.492081405739379,0.28060506392812834,0.27471948048317835,0.25754730330388986,-2.58642591370484,0.01999647523159569,3.204864324738681,3.6223821331666346,408.9058659649407,7.691035743930926,1.734956166389789
bedroom__166.png,0.27574067136003333,0.1626676090526713,0.5022224902982027,0.3981563879530288,0.16645202703343076,0.16810613613320724,-2.8741802510644088,0.008980627179674178,4.025485861983794,4.1904509417107265,152.7700465514159,6.919060356604559,1.792964538664608
bedroom__167.png,0.3651267473275615,0.24964061397632084,0.48593659364787584,0.24709613172615338,0.2296739473974461,0.2329866263274976,-2.740554127170795,0.006878188663864557,3.6590185325655034,3.8579327499063116,290.8353856530953,7.43375594576062,1.6959560046189321
bedroom__168.png,0.2514034195304929,0.18644987539985378,0.6864669245302285,0.2878218914341997,0.24291059132261938,0.2537246809979481,-2.682919316463269,0.004420445798345097,4.128491942568852,4.309965960244595,306.22966682185285,7.588407791588755,1.8658097854363003
bedroom__169.png,0.3208308002542456,0.13592443235149002,0.4943930249183005,0.3284082267225786,0.19585287639245783,0.19624177188410874,-2.919524699925908,0.0045612443010579085,3.956408650517277,4.173018150414219,257.8936274307087,7.457090843976974,1.7954559481380667
bedroom__17.png,0.17039414627978314,0.3735086203416458,0.4336423483455882,0.19475651035011513,0.2361347965117148,0.2867043677545525,-2.7909273718563163,0.007198001147502815,4.138338528667987,4.185200767151768,263.73807541130805,7.448068493804145,1.5910331041527912
bedroom__170.png,0.2482128834111476,0.41203685757033587,0.4797486340890523,0.26041922177126076,0.26689106156204245,0.21175321230215755,-2.596317040637294,0.014696056411895215,4.173722827389526,4.3738671918676815,271.88318589125475,7.548488920388297,1.7148556596736682
bedroom__171.png,0.23560016245841042,0.30832626329990503,0.5046503395629084,0.21710407339630425,0.19911818263034,0.2136674857174213,-2.8768526702614023,0.01990761556739618,4.033626320221776,4.312554897629341,282.65221637248237,7.53936190266457,1.7586665201544602
bedroom__172.png,0.14622473098932443,0.4680846634690143,0.5716544500612745,0.09563509221468779,0.22834920367375947,0.23980531579021602,-2.9928227471193045,0.006229157728221496,3.765491441495829,3.9766061724813078,376.1921672836685,7.70310556105354,1.8355669802473773
bedroom__173.png,0.1476254361248594,0.574592395991156,0.4789012969771242,0.1510519638586048,0.26001686948499203,0.21230748972967814,-2.7198245197437974,0.006719822447128129,4.215760673935668,4.362114460226683,347.3989721019205,7.59257820905458,1.6524189405183136
