image,enclosed area,no horizon,far-away horizon,open area,semi-enclosed area
bedroom__132.png,0.7438762636067381,0.690650392810858,0.2672533526296098,0.29232509456539507,0.25787564923712597
bedroom__133.png,0.764254200447787,0.7183884233708996,0.24519119218201163,0.22852781557209248,0.2190353933620416
bedroom__134.png,0.7582264930953513,0.6674009034347793,0.28091503517711325,0.2934012807891651,0.2499641254351023
bedroom__135.png,0.8068812001322077,0.7231299574669625,0.26251092620262967,0.23258695560025439,0.25467533748925614
bedroom__136.png,0.7084937202588009,0.6925911442341561,0.2690216927818164,0.312517835269898,0.26857696479536486
bedroom__137.png,0.8220498092795419,0.7362623622348629,0.2046836355699925,0.19400814176910594,0.24546446504107747
bedroom__138.png,0.7067427683208507,0.7222369800009419,0.20837365838833408,0.2626041830821895,0.2638413501720104
bedroom__139.png,0.7899594893968267,0.7352686974311068,0.22313478912858511,0.18935993810999724,0.24636701137238437
bedroom__14.png,0.7558649885401252,0.6769435651498853,0.2563353795916205,0.26009839029621357,0.2500136458553307
bedroom__140.png,0.751635328410871,0.7235009441238793,0.2410230880571671,0.26478202097032083,0.19991204130653398
bedroom__141.png,0.6958423198938818,0.6567458398873207,0.28141246787206076,0.33166154472961346,0.256632052956341
bedroom__142.png,0.7153582128090119,0.7141811049162513,0.24198149633660568,0.27913526409271916,0.2790531411124566
bedroom__143.png,0.7664383116935696,0.7118648156729681,0.2230646579388411,0.20260377935963597,0.25907548258997654
bedroom__144.png,0.7962720947149746,0.6777762122938096,0.26388755480730364,0.23847389855163756,0.21116830788080418
bedroom__145.png,0.7428213595340818,0.6809205520943565,0.28769005186212243,0.26267215952061207,0.2712490731595817
bedroom__146.png,0.7159443408161023,0.6505534603708758,0.2807356179461721,0.27715747539526064,0.236551581224474
bedroom__147.png,0.7974726540209639,0.7556153080204896,0.20535213269406524,0.2206592512001396,0.23012581534033894
bedroom__148.png,0.6560917691984125,0.7001214882371429,0.23094039134141045,0.33069464642207674,0.2680429345830551
bedroom__149.png,0.748008842588097,0.7006422100607478,0.2410084114051472,0.24870900806674412,0.2634409998208402
bedroom__15.png,0.7164912500760171,0.7185564213954498,0.2271660829272149,0.29007173287338195,0.24944782894924622
bedroom__150.png,0.7153034758550191,0.7294349945827573,0.21134120038561738,0.24092508002387805,0.2827606133140539
bedroom__151.png,0.753286479968125,0.7371108923359276,0.21755331857147484,0.24731707239885642,0.26981922330454905
bedroom__152.png,0.7298705413458877,0.648705518469564,0.28804932503728403,0.31014370189292345,0.23831234754373684
bedroom__153.png,0.7578324563791821,0.6969900015634798,0.22915756040223387,0.2569247430157114,0.24496376430028116
bedroom__154.png,0.7266642578633423,0.6592521590994603,0.26897652855986265,0.2649604932889107,0.2659219652426349
bedroom__155.png,0.7113847081936057,0.6477587938839976,0.23381564418921214,0.25353211776412643,0.26751973300897697
bedroom__156.png,0.6952255453925053,0.6795970223878804,0.2360149190045744,0.27131736096372455,0.24481589627586142
bedroom__157.png,0.6749035674468805,0.629705410919176,0.30042734395207893,0.3376063097630996,0.25522090060663905
bedroom__158.png,0.7921251530926016,0.7090574777285709,0.24165204922970254,0.23882186392355323,0.23257483132876958
bedroom__159.png,0.782951728312981,0.6757558375623999,0.3073089778762054,0.2648323794264489,0.22451310799056087
bedroom__16.png,0.7027371266607848,0.6756693821503085,0.27865144288648247,0.31391337138792264,0.2540134805593944
bedroom__160.png,0.8113986012145233,0.6864597356778731,0.24693594009189507,0.23651927141011364,0.20860717126403971
bedroom__161.png,0.6977314156163936,0.6753912274773793,0.2752817804336015,0.298299574737502,0.25319187561502154
bedroom__162.png,0.7317397502987611,0.647111797449404,0.2793890925743036,0.3094697791895121,0.21386243473995944
bedroom__163.png,0.7728905804762751,0.6933145235380161,0.2636069580049418,0.2514786346904076,0.25179117706122456
bedroom__164.png,0.7746741950680891,0.7170024503704812,0.20675691866218454,0.23970573157883784,0.23616683401771574
bedroom__165.png,0.7147408015666589,0.7302950831965646,0.20011991292178852,0.21928174111744023,0.2479491713435742
bedroom__166.png,0.8041900134128553,0.6944801236137861,0.2914395262557534,0.2352335576430813,0.24098861485044454
bedroom__167.png,0.7078694141517256,0.6691310798230026,0.2574541719510398,0.2638912726182547,0.27320593115871994
bedroom__168.png,0.7656774553085234,0.7102854300752813,0.24627926626245072,0.2684747432785169,0.24315668281046698
bedroom__169.png,0.8297989617675624,0.711083768388643,0.23772924656072145,0.16575805928472945,0.2514974534106828
bedroom__17.png,0.738019826032175,0.6826897895800842,0.2689459488345978,0.24450640974341162,0.2579442994130134
bedroom__170.png,0.7507249332274349,0.7102893059229823,0.26323469166601043,0.26810116265715833,0.26704514524285483
bedroom__171.png,0.687746126284528,0.6720695493321054,0.2562003066230454,0.3196053608324918,0.28824515328399336
bedroom__172.png,0.7737784225488024,0.7146625407431532,0.2537881340865339,0.24606408674414085,0.24212654275608472
bedroom__173.png,0.7577157527590329,0.6635397546474834,0.2809252638288902,0.2673264533327857,0.24200567845983584
bedroom__174.png,0.692424125204668,0.6805477011201041,0.24617161968393997,0.27952430950071205,0.26776764830442035
bedroom__175.png,0.7804304709529885,0.6856949612714631,0.25903470995077343,0.2386853164412563,0.24555764209182518
bedroom__176.png,0.8072754405808219,0.7541534057622129,0.21601581174686754,0.20019018732273575,0.22242276242332476
bedroom__177.png,0.742173197669886,0.6500213957216645,0.2888117759879716,0.3034564203441827,0.26227913931426783
bedroom__178.png,0.7519397266483387,0.65544295514418,0.2577547670528511,0.29532983726365075,0.24692331452873093
bedroom__179.png,0.7758580763554015,0.7512768615665146,0.1958550769937235,0.2017594316913476,0.25633874281063235
bedroom__18.png,0.6644199238174474,0.665724000352119,0.24764632066456663,0.2986637081338158,0.27541824074484506
bedroom__180.png,0.6879076977704554,0.7168152608090521,0.2211784013125749,0.28151914321959726,0.25756342152855327
bedroom__181.png,0.7297365509267156,0.6987777164696962,0.27294690436855384,0.26104285069762984,0.2585582540462714
bedroom__182.png,0.7892047647792532,0.7416706506342733,0.21906409425158652,0.23022392465880995,0.23765717230643113
bedroom__183.png,0.749306487645183,0.7031289655296434,0.26247689592345663,0.266923358609261,0.26170650712123644
bedroom__184.png,0.7887342675385287,0.7321641141355049,0.2290662121648264,0.22050386524887272,0.2418122442531044
bedroom__185.png,0.7018601628373303,0.6732355782260593,0.2652960511416241,0.27800113218605915,0.28629408391026806
bedroom__186.png,0.7577589307155719,0.6677747120373267,0.24913131585083112,0.24047155381295884,0.2225623538332565
bedroom__187.png,0.7012042344169691,0.7103839307551457,0.22652403260990558,0.25951725087804733,0.2564254527950651
bedroom__188.png,0.7690616938032215,0.7064275027041593,0.2066469384897352,0.24512248153899835,0.23969981558555284
bedroom__189.png,0.8061476886865023,0.6905303862987182,0.27780297269561566,0.23968521853340974,0.2520753278825467
bedroom__19.png,0.7803121884016269,0.7656699107284299,0.21769073925723037,0.2265836557472895,0.24567463390634972
bedroom__190.png,0.6687124432130204,0.6412630212465246,0.27400154487934625,0.30194220773329056,0.2459319464042378
bedroom__191.png,0.8168970249164027,0.7200905002562017,0.23758529885467303,0.24063807797150025,0.20138481438081873
bedroom__192.png,0.7131013602049282,0.6661649249304289,0.25140439718026947,0.2540102365245009,0.25039117381886766
bedroom__193.png,0.7092561019364687,0.6626475851201971,0.27099954933482817,0.28423308833198513,0.2776285886302601
bedroom__194.png,0.7988280222936123,0.7073664535828461,0.26328492720785585,0.2186595943734406,0.22582791900147273
bedroom__195.png,0.8149553446659666,0.7015356644737174,0.26299240735619345,0.20596257200006557,0.2229982573262633
bedroom__196.png,0.708503663249192,0.6385532138688446,0.2888903866988025,0.2808211143636147,0.2748275636022612
bedroom__197.png,0.738056014861123,0.6776551737872802,0.26524494907450263,0.2935606572368552,0.22451753404733862
bedroom__198.png,0.7679960605031799,0.7186118682220042,0.2564328700106313,0.2293711732276171,0.26014048346748325
bedroom__199.png,0.777909633772211,0.69050759302695,0.23995788287608552,0.23521641460533957,0.23223371355698286
bedroom__2.png,0.6958370069372889,0.6808945789630687,0.25667982156815417,0.26825387601403333,0.26293871835993415
bedroom__20.png,0.7044451824300265,0.6326531614376212,0.301734784881106,0.34774720113265023,0.228754771086029
bedroom__200.png,0.7335897845057467,0.6794084612684305,0.25023819238608436,0.2420780628309118,0.2609473558654611
bedroom__201.png,0.7262655277803804,0.6538595144567652,0.2730216342905508,0.285677338273128,0.28275492559492765
bedroom__202.png,0.6789814008516422,0.6171329122919035,0.2906966380596557,0.34756389662274045,0.28075376028370297
bedroom__203.png,0.6312342724866942,0.6862242858449613,0.24639397924525142,0.2794913315225325,0.3271707200915473
bedroom__204.png,0.6340764720145864,0.5856833159645988,0.29418385361060756,0.3325542109054113,0.29215837998887223
bedroom__205.png,0.7242323522572883,0.6766780179783337,0.2982171931463432,0.2762610942710721,0.2981620843153531
bedroom__206.png,0.7159309302770844,0.6287006903051475,0.3237589610867646,0.3221893178424629,0.27495992913050155
bedroom__207.png,0.6935319880769522,0.7401784505419637,0.18735163047492098,0.24637002195577887,0.2359020910337015
bedroom__208.png,0.7299906375044041,0.7000767702070796,0.24724006266358944,0.2798868426218361,0.20947890295788998
bedroom__209.png,0.7339372880999371,0.7113837872969404,0.25652947266242565,0.28032738297201126,0.23887386510748285
bedroom__21.png,0.7946045603399292,0.7047269449881924,0.23687633125774604,0.2530110515016433,0.20584293387170882
bedroom__210.png,0.7198550434558774,0.7132201953147822,0.22203881425817718,0.26000184352080186,0.21324140460538865
bedroom__211.png,0.7046324151647952,0.657175683026555,0.27843781327982914,0.3171457105783834,0.26247501422387065
bedroom__212.png,0.7842816269095226,0.7141114600754394,0.26085015732453615,0.2587325201342217,0.23394375474600784
bedroom__213.png,0.7081249824924095,0.6131931285244492,0.3310905667279401,0.3044785941500303,0.308006596662959
bedroom__214.png,0.7186294146832785,0.6898778569940125,0.23246261822671568,0.28748510470487065,0.25490320359993723
bedroom__215.png,0.746045191054548,0.7347659647196157,0.21652867445695212,0.253151939854332,0.24739455933713678
bedroom__216.png,0.7506082643471282,0.674420140292243,0.27791760812820815,0.3071555999872372,0.23118876726344872
bedroom__217.png,0.7537210919387942,0.7170864352244982,0.2309417957734228,0.2708328660409738,0.2304137849323735
bedroom__218.png,0.7431073711698191,0.6979970643634531,0.2651686736345273,0.27120001692897244,0.25946899259827677
bedroom__219.png,0.8431931143104691,0.6964266011161783,0.28882688124956957,0.21579822212720678,0.20291619780871972
bedroom__22.png,0.7272611653085999,0.7169378478540751,0.24486236994802935,0.283258292961873,0.2406416485623383
bedroom__220.png,0.7416373763310304,0.6674771587402861,0.30873824189449817,0.28423076741324677,0.26351182719328764
bedroom__221.png,0.7422349120726544,0.7224669799393909,0.2277776218711461,0.2296462045813607,0.26438202631844193
bedroom__222.png,0.7549027198816524,0.7092003846401189,0.25228579815781244,0.23640076661652662,0.27424496311602514
bedroom__223.png,0.6740172395773983,0.6311044170093225,0.3000956534129485,0.2957856340972971,0.2701948326188666
bedroom__224.png,0.7237926453063501,0.6499913180676914,0.3049700674648068,0.2933933508770771,0.2846498872515917
bedroom__225.png,0.7613423995374827,0.6940270910778733,0.26612466245383215,0.2633196134229667,0.2698757097427686
bedroom__226.png,0.7032406452773557,0.7006248861633949,0.24924234428132616,0.32037487990753094,0.2428893979809322
bedroom__227.png,0.7831482471679754,0.7341471678426453,0.21902545017850686,0.24690531440351923,0.2544747770819639
bedroom__228.png,0.7334578021076652,0.7354214630398478,0.208107519649506,0.2764776006191417,0.22967145778784537
bedroom__229.png,0.6625869354486079,0.6294728232870105,0.31795310942879473,0.3421651655932742,0.2258461354625931
bedroom__23.png,0.8186097400304037,0.6641635452422538,0.2900963103439126,0.23729588114681605,0.22926876004970934
bedroom__230.png,0.6502732944575474,0.6330369774162772,0.2710606071331361,0.3138298326072499,0.23964774632203478
bedroom__231.png,0.7601070778419289,0.6990077670243928,0.2776832782772994,0.2681119180509883,0.24441619672119858
bedroom__232.png,0.7343192245941819,0.7365866299802187,0.1994998532952512,0.2604398789667078,0.26082093111791876
bedroom__233.png,0.7692849351151504,0.6862306480810442,0.2431240959003179,0.25413492243383445,0.22221454226363674
