image,curvature1,orientation1,length1,curvature2,orientation2,length2,curvature3,orientation3,length3,curvature4,orientation4,length4,curvature5,orientation5,length5,curvature6,orientation6,length6,curvature7,orientation7,length7,curvature8,orientation8,length8
bedroom__118.png,4048.23252362084,873.994668310246,22.9829766463819,1367.36269876564,524.217664332203,740.147651039679,2077.11689635131,1297.72553973696,1347.72649506902,1548.29990582875,1113.4332040062,2472.69450410617,657.791226912495,2842.03572258697,1963.83920779628,248.397257260653,917.59196684225,2740.98940668193,52.799491260304,699.771263604842,711.619758660542,0,1731.22997058033,0
bedroom__119.png,4852.64730446963,1029.8703816126,187.031190247414,1794.30440409505,1029.04273846198,481.157352229839,1626.15719857294,846.275502194021,1454.33325282225,1069.88337371111,682.149716766862,3091.56323279731,533.685139482741,4376.80300127926,1786.52033795122,123.322579668533,787.847692822724,2512.01101602084,0,533.316247264587,487.383617931132,0,714.694719597973,0
bedroom__12.png,4798.89104676697,1412.73633594181,134.337905322793,1404.51442136642,2396.12270308928,201.164480220958,1543.37256543848,268.021902380356,1036.7834051327,1295.53095988397,609.414106517833,2421.97563633587,670.063493351706,3474.14408747256,2596.95821776301,212.415437417152,594.434886504225,3608.78035522467,56.7108469530527,510.088824938438,0,18.5012288222491,735.037153155488,0
bedroom__120.png,4120.59002892219,2463.22777089884,135.868400359927,1449.05988417583,1598.96911988484,151.921984182225,2192.68884336258,303.281723630748,1102.06660656833,1440.99523661383,476.281623355102,3031.99868187684,562.536163921171,3401.88728902477,3099.88398041863,205.743904062029,442.420234106349,1843.7127533837,28.3859389423581,817.696102410218,634.547593210343,0,496.236136689135,0
bedroom__121.png,4079.22368066358,1751.02737797538,133.307074628807,2101.4334646126,1045.12218967065,372.915905457185,1990.5242139457,274.672320600858,1096.98259431135,1130.06893213152,570.233377189857,1842.75225421202,535.583672504393,4049.69045072319,3685.52740017561,151.918735221924,704.75962387658,2868.51477121502,11.2473009202872,500.391847952984,0,0,1104.10281201051,0
bedroom__122.png,4742.80667821944,2278.33887202017,198.392166897951,1255.70481706059,795.423298145219,448.30545607917,1531.13263588345,283.672774956142,1723.58026834935,1773.78979366796,859.923512108865,3043.29448638575,457.576340258528,3537.74920237728,2247.50591489094,212.939080768264,753.074419201947,1871.29102191587,18.4205941979942,600.821318194704,467.630685480982,7.63005994378034,890.996602995669,0
bedroom__123.png,4727.26961631763,1946.85343673421,175.97634950582,1250.54462557452,713.317905640936,451.653775403497,2336.36258019609,986.671852689809,1096.54375819958,973.52711225762,575.95416511214,1966.00926720437,495.729131936393,4344.62892891012,4235.08587789564,164.855389799371,383.968249779509,1082.11325758461,51.7115439183763,304.152660065713,0,0,744.452801067568,992.617714206491
bedroom__124.png,3551.99576386148,2142.51677692209,15.9077193720737,3250.24116149278,1064.15408881025,353.782961792455,1536.24579970399,164.902340893664,809.660090769867,775.706540094836,365.336009256366,2119.22802177093,712.470779163898,3952.39063017707,1953.80515865778,142.411023755737,439.735079150252,2316.62485240434,30.9289319272723,541.898342927593,1273.18406124151,0,1329.06673186271,1157.80713399105
bedroom__125.png,4387.56918104311,1618.10257924777,106.750943777041,1749.61770870471,1456.2653659994,518.202298175208,1732.91651765912,378.604676698194,1493.18583479404,1327.95257075422,996.615922414993,2227.46937419175,680.112565694204,3265.68682557928,2787.70867639899,121.831456144627,420.296125250959,1924.02143301573,0,450.644073550813,0,0,1413.78443125858,942.661439647236
bedroom__126.png,3433.46216440886,1298.22975262348,172.958522332739,1254.84782011518,1911.01549923561,939.140841319839,2053.68774610189,552.09976828727,2109.22761435916,1630.65931137919,1009.38693457197,3712.54332780739,1158.66340023903,2901.20223386122,1839.38178377651,385.223370601766,869.450305058624,552.416103397035,65.4782675137893,558.781309375245,674.331807007329,17.9779196402946,899.83419698658,0
bedroom__127.png,6070.62869644554,4771.68480976928,93.3332135549468,1317.19295352805,447.82660906922,262.971209322942,1336.94833732432,182.097794481075,607.968437036968,773.96024993789,337.95999987169,1651.90428133677,450.521897437462,2851.79345540021,2292.60857335958,43.0973049789318,555.641990765015,2689.04541950314,7.65056034780407,308.620838220266,2402.16886588565,0,544.374502423243,0
bedroom__128.png,3738.14090913482,3258.85644477816,32.7491721709843,3409.30517344996,822.1380754313,150.038026203601,1610.29688131836,216.56361878645,741.57429564774,892.655211403289,512.835052989315,1379.58193489427,268.463172702015,4036.57011650991,2615.60557050453,81.138651991553,640.403826783604,2539.41693445636,0,254.173677417942,1357.27150668818,0,258.459187303321,1183.76255943434
bedroom__129.png,4206.76994848241,1695.98440757517,181.496195177757,2313.2642924626,1376.51412020145,556.431256530391,1972.43989502855,309.348019786925,1310.76564395739,717.823724130443,269.138203739918,2540.46235914839,553.740171781654,3640.86703594097,2724.29725819875,235.961968114341,779.077493256464,1599.60998247557,0,550.895562850303,1086.93730451176,0,1378.1751566488,0
