image,symmetry_lr,symmetry_ud,symmetry_lr_ud
bedroom__31.png,0.28857074446563624,0.36843945835149305,0.2902974054773586
bedroom__32.png,0.3085361189577128,0.2682244592227985,0.2526849790331328
bedroom__33.png,0.35952446173656205,0.3193822447567589,0.2968420397612308
bedroom__34.png,0.2967202194154801,0.2829017124723665,0.22344023602080387
bedroom__35.png,0.3384540409875171,0.36501540672308963,0.2849499562765533
bedroom__36.png,0.32068685418953957,0.20655708206506163,0.2094491865528848
bedroom__37.png,0.28174695327103605,0.2916824236094845,0.2533280282027415
bedroom__38.png,0.26036733228314035,0.2688531642443339,0.19970013962217315
bedroom__39.png,0.2939613882788813,0.33479739142921006,0.25345238744399023
bedroom__4.png,0.38443009401551065,0.26404362843999873,0.2547481612834964
bedroom__40.png,0.34097674231735564,0.26812790296070865,0.21475534379246786
bedroom__41.png,0.3396206802779127,0.3349820970806734,0.2560233145992086
bedroom__42.png,0.2694513587306939,0.21477075668848578,0.17087387736145931
bedroom__43.png,0.298553426663435,0.2988872360324697,0.2778804086486669
bedroom__44.png,0.36013530746499234,0.3806555205640536,0.365024767278073
bedroom__45.png,0.3924903036825307,0.4034007630099389,0.3405660586668591
bedroom__46.png,0.30974827995101284,0.31089279728854036,0.2396245380039237
bedroom__47.png,0.42619169949137825,0.3776500030912463,0.3750619362322286
bedroom__48.png,0.3431783059620438,0.33717265438036415,0.25863237769226566
bedroom__49.png,0.41720383919862336,0.3467260556921472,0.3142307871882424
bedroom__5.png,0.35830816963104517,0.29097935597640734,0.23813636528802207
bedroom__50.png,0.40525783222189293,0.3651305165776437,0.32291319381071615
bedroom__51.png,0.3245154272626204,0.3149573507443556,0.27927192227174436
bedroom__52.png,0.40812601452327757,0.36210007944703293,0.3668047665282774
bedroom__53.png,0.34253970616827134,0.19736426729309497,0.15621521429112073
bedroom__54.png,0.2982608841427221,0.40199908771220993,0.27968983635918077
bedroom__55.png,0.3498606415764697,0.4047747868289736,0.3082156199219339
bedroom__56.png,0.29939623458932296,0.3264566378842092,0.2606803478881018
bedroom__57.png,0.3790216995558867,0.3720639375870536,0.3036422265975248
bedroom__58.png,0.37019103975987433,0.354983863527649,0.3652516064654331
bedroom__59.png,0.28284550699281974,0.28617930215482157,0.17261522424490905
bedroom__6.png,0.37789197143801445,0.3752126678253487,0.33388006518621216
bedroom__60.png,0.3741785162219259,0.3566686626969865,0.3176245835698004
bedroom__61.png,0.36393770742985754,0.36945602587519477,0.3279622424987044
bedroom__62.png,0.31087585595955924,0.2519335082498072,0.2078664245938363
bedroom__63.png,0.2980791754263612,0.25885742300597814,0.28432960431932675
bedroom__64.png,0.39150398247688467,0.3519315984192337,0.3273584863295762
bedroom__65.png,0.34627751063237144,0.3137368825708772,0.2776267355804437
bedroom__66.png,0.3504346269838875,0.28055254097592,0.2541242390741949
bedroom__67.png,0.40910439085464867,0.2794112073741153,0.24006455447267283
bedroom__68.png,0.37803690301849835,0.3190015009142736,0.28742695198578905
bedroom__69.png,0.36870796924915694,0.36114096100159343,0.35165479832892044
bedroom__7.png,0.3722431470257238,0.32634924732805626,0.2794831401501676
bedroom__70.png,0.1862515473365911,0.2724176459068921,0.15768951778328422
bedroom__71.png,0.3985646561442414,0.390829420943968,0.3174304742177718
bedroom__72.png,0.4901898444718138,0.4504245740875251,0.44418127789201534
bedroom__73.png,0.2984644562005142,0.28020936704544464,0.22683038581297865
bedroom__74.png,0.38539563234182383,0.3142929088434254,0.280779663224079
bedroom__75.png,0.3300089340495592,0.3499759888955555,0.3413766827815974
bedroom__76.png,0.36955624816637545,0.28041929205225247,0.23619778857108853
bedroom__77.png,0.36884095187151933,0.33098887705647273,0.29008236913438623
bedroom__78.png,0.3769196168530152,0.3519396980764047,0.2866834098765837
bedroom__79.png,0.35338842911281265,0.32988397720518237,0.26913550996282
bedroom__8.png,0.5175319922725826,0.28827180176964606,0.2541669120017296
bedroom__80.png,0.3145776241787611,0.2790276446607577,0.25791389948921817
bedroom__81.png,0.49851044041695913,0.3251458507378028,0.27957342416044684
bedroom__82.png,0.3315099543065192,0.2299896637790383,0.2148344395888817
bedroom__83.png,0.3483817659088826,0.3673937435329423,0.31753673858329257
bedroom__84.png,0.39373437290249746,0.30830362168872794,0.2603045949182986
bedroom__85.png,0.32529676690894593,0.319938638534369,0.2356408627416443
bedroom__86.png,0.31962853418851134,0.35101634241980306,0.27084732058173167
bedroom__87.png,0.34003549322024873,0.37333690415064036,0.2698292053612552
bedroom__88.png,0.35762839374768873,0.3523697637195615,0.29161551441469635
bedroom__89.png,0.6219007988615624,0.35622254504327333,0.34357174112662936
bedroom__9.png,0.34549761019252634,0.35496223213482025,0.28744770259863894
bedroom__90.png,0.37417888341194305,0.2421854626625819,0.23590937566406278
bedroom__91.png,0.3970064343878038,0.34931983208160167,0.3356486532179519
bedroom__92.png,0.3720358285825033,0.2299846862271664,0.16695194389712387
bedroom__93.png,0.43291154370126117,0.38566818634500777,0.3731996142063987
bedroom__94.png,0.32992476826853745,0.3434018164003043,0.3066607940014172
bedroom__95.png,0.4411193718991009,0.38142652190502546,0.3376536608475602
bedroom__96.png,0.3584419945630284,0.3636912595331838,0.3257713072838545
bedroom__97.png,0.38040457173274467,0.40674424531341025,0.33473206396357613
bedroom__98.png,0.26881576957523545,0.2323223639608526,0.1511261713720078
bedroom__99.png,0.37924553704417774,0.23345756240150406,0.1784229299059874
dining room__0.png,0.48498509197433015,0.46522763690682556,0.44193511671493657
dining room__1.png,0.4183025925497298,0.4012178027626013,0.3420904740819417
dining room__10.png,0.3609314404514533,0.39801164401687283,0.34788520008563517
dining room__100.png,0.40217324074872474,0.37182836082747417,0.26909384816223403
dining room__101.png,0.4177101876083059,0.4318430362087936,0.37105462212597173
dining room__102.png,0.38070214728532736,0.38189950327161315,0.35946520737081267
dining room__103.png,0.3862985162574958,0.3576207660007804,0.37253965373016806
dining room__104.png,0.3305288439171802,0.3571874165911272,0.32105193834682844
dining room__105.png,0.455745852447632,0.3070904301438304,0.2847046328771603
dining room__106.png,0.45686240319052074,0.32536588383994014,0.29049954475597806
dining room__107.png,0.401805580042356,0.3105059966936815,0.2736110797971528
dining room__108.png,0.36203917625630677,0.3786470621816639,0.28920714528768343
dining room__109.png,0.40722206147707074,0.4383862516152327,0.3470351541903234
dining room__11.png,0.48741484431660564,0.37049793475590087,0.3367897143191114
dining room__110.png,0.34310142942875865,0.4037435984167407,0.31566067159040645
dining room__111.png,0.3664519933292,0.3676445931064857,0.30927777784543997
dining room__112.png,0.3505395886749513,0.2836628276104335,0.2561031130623842
dining room__113.png,0.3573972753014535,0.32381565320601136,0.27472779974072226
dining room__114.png,0.4342118887804808,0.36074647757771294,0.3343430961178705
dining room__115.png,0.46064685075929734,0.34416680731636007,0.2915988675329677
dining room__116.png,0.3717727410682218,0.32415505918462684,0.2844212501203839
dining room__117.png,0.3809141218912838,0.3715918612453307,0.34171129222663355
dining room__118.png,0.5104713067372499,0.42045561540842147,0.37020386793210747
dining room__119.png,0.3871871290500001,0.44378814107641507,0.31110564752838
dining room__12.png,0.44013088292744007,0.3741913324726196,0.3488665919302618
dining room__120.png,0.35157341208119397,0.2320240563910444,0.2285571274069117
dining room__121.png,0.3768708791523915,0.3854516847474323,0.29444170674180004
dining room__122.png,0.5082155607769312,0.28346504400566686,0.25876157032155334
dining room__123.png,0.45402844388949304,0.38490918024319143,0.33308085208835236
dining room__124.png,0.40875687957526663,0.36083510560031073,0.33255055450189674
dining room__125.png,0.4538647102375024,0.3501977407119088,0.3391508158150328
dining room__126.png,0.4526753390226044,0.3974351777312648,0.390353322912978
dining room__127.png,0.4137799838306587,0.2239348274052645,0.1817398257740246
dining room__128.png,0.33991679634890326,0.3475845813836753,0.3478221209811375
dining room__129.png,0.37156929259902083,0.4207122463087227,0.3564181429908052
dining room__13.png,0.3748112206438303,0.3578383307836751,0.3267375859471272
dining room__130.png,0.42605620222641605,0.3777662182088728,0.3389295126078097
dining room__131.png,0.40069974136630726,0.31264521099800746,0.2879446552824535
dining room__132.png,0.38792074797473486,0.32987981018440005,0.30350876531418225
dining room__133.png,0.4290517112826847,0.39887341107999674,0.38279619588589586
dining room__134.png,0.40178907334151215,0.34647694039147503,0.30413049061297837
